sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.060;56;;60rounds;Yes;No;2;0.78591;0.81500;0.07806;0.14578;1.60091;TheNegotiator@1224;TheNegotiator@1225;0.815;0.785905062151012;0.815;0.785905062151012;0.0;0.0;party1_utility.xml;party2_utility.xml
0.050;61;;60rounds;Yes;No;2;0.68493;0.88167;0.00000;0.26211;1.56660;ValueModelAgent@1226;TheNegotiator@1227;0.8816666666666667;0.6849303286683233;0.8816666666666667;0.6849303286683233;0.0;0.0;party1_utility.xml;party2_utility.xml
0.040;61;;60rounds;Yes;No;2;0.29693;1.00000;0.00000;0.66723;1.29693;Gahboninho@1228;TheNegotiator@1229;1.0;0.2969260373579895;1.0;0.2969260373579895;0.0;0.0;party1_utility.xml;party2_utility.xml
2.072;58;;60rounds;Yes;No;2;0.74053;0.80583;0.07253;0.18919;1.54636;BRAMAgent@1230;TheNegotiator@1231;0.8058333333333333;0.7405280739267821;0.8058333333333333;0.7405280739267821;0.0;0.0;party1_utility.xml;party2_utility.xml
0.039;61;;60rounds;Yes;No;2;0.32074;0.93667;0.05136;0.62646;1.25740;KLH@1232;TheNegotiator@1233;0.9366666666666666;0.3207375465597058;0.9366666666666666;0.3207375465597058;0.0;0.0;party1_utility.xml;party2_utility.xml
0.542;57;;60rounds;Yes;No;2;0.74190;0.78833;0.09007;0.18670;1.53023;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1234;TheNegotiator@1235;0.7883333333333333;0.7418981716525881;0.7883333333333333;0.7418981716525881;0.7883333333333333;0.0;party1_utility.xml;party2_utility.xml
0.048;58;;60rounds;Yes;No;2;0.78500;0.92857;0.00000;0.00000;1.71357;TheNegotiator@1236;ValueModelAgent@1237;0.7849999999999999;0.9285654723948509;0.7849999999999999;0.9285654723948509;0.0;0.0;party1_utility.xml;party2_utility.xml
0.059;61;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;ValueModelAgent@1238;ValueModelAgent@1239;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.0;party1_utility.xml;party2_utility.xml
0.062;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Gahboninho@1240;ValueModelAgent@1241;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.085;61;;60rounds;Yes;No;2;0.84833;0.85649;0.00000;0.09595;1.70482;BRAMAgent@1242;ValueModelAgent@1243;0.8483333333333334;0.8564909885811369;0.8483333333333334;0.8564909885811369;0.0;0.0;party1_utility.xml;party2_utility.xml
0.050;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@1244;ValueModelAgent@1245;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.554;60;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;boa-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_BS-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_AS-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-C..Users.Administrator.eclipse.workspace.masProject.bin.group13.Group13_OMS_t@1246;ValueModelAgent@1247;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;0.0;party1_utility.xml;party2_utility.xml
0.041;61;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;TheNegotiator@1248;Gahboninho@1249;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.052;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;ValueModelAgent@1250;Gahboninho@1251;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;Gahboninho@1252;Gahboninho@1253;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
2.074;61;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;BRAMAgent@1254;Gahboninho@1255;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.041;61;;60rounds;No;No;1;0.00000;0.00000;1.03604;1.21592;0.00000;KLH@1256;Gahboninho@1257;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
